t,err_vx,err_vy,err_lin,err_yaw
9.780034,-0.085622,0.083176,0.119371,-0.641009
9.799852,-0.026849,0.079204,0.083631,-0.107470
9.819984,-0.030997,0.067994,0.074726,0.964804
9.839879,-0.000347,0.048227,0.048228,0.334250
9.859938,0.034259,0.053696,0.063694,0.345978
9.879989,0.034534,0.048603,0.059623,0.133081
9.900150,0.051954,0.026745,0.058434,0.205049
9.920024,0.055145,-0.003636,0.055265,0.070747
9.939866,0.094589,0.010629,0.095184,0.103719
9.960052,0.046843,0.023273,0.052306,-0.575648
9.980059,0.048244,-0.011943,0.049700,0.011353
9.999837,0.127296,-0.054657,0.138534,0.334090
10.019858,0.135528,-0.072667,0.153780,0.385779
10.039959,0.131248,-0.103885,0.167386,0.232281
10.059853,0.117254,-0.066778,0.134936,0.167646
10.080137,0.084182,-0.034199,0.090864,0.088419
10.100086,0.057836,-0.003419,0.057937,-0.009765
10.120179,0.053089,0.028806,0.060401,-0.160044
10.139859,0.025355,0.033324,0.041873,-0.227015
10.159848,0.011692,0.048807,0.050188,-0.121570
10.180025,0.001139,0.079119,0.079127,-0.016711
10.200045,-0.033086,0.108682,0.113607,0.397703
10.219923,-0.089843,0.144494,0.170148,0.227503
10.239941,-0.077704,0.162990,0.180565,-0.299014
10.259941,-0.063208,0.183916,0.194475,-0.334340
10.279880,-0.073607,0.187306,0.201250,-0.582246
10.299989,-0.158993,0.220071,0.271496,-0.395831
10.319981,-0.144239,0.213451,0.257616,-0.222214
10.340153,-0.139541,0.188049,0.234167,-0.026664
10.359880,-0.128672,0.157045,0.203026,0.030045
10.380062,-0.092173,0.128274,0.157956,0.049707
10.399905,-0.048159,0.114094,0.123842,0.109843
10.420468,-0.058003,0.081436,0.099981,0.090835
10.439750,-0.037410,0.056351,0.067638,0.110206
10.459874,0.004929,0.033118,0.033483,0.211629
10.479856,0.017128,0.012385,0.021137,0.171091
